Date,Time,Open,High,Low,Close
2020-04-29,15:14:00,21065.47,21106.6,21078.65,21083.1
2020-04-30,09:07:00,21643.44,21589.2,21589.2,21589.2
2020-04-30,10:14:00,21894.2,21917.65,21903.75,21907.6
2020-04-30,11:14:00,21922.54,21939.1,21925.9,21931.65
2020-04-30,12:14:00,21933.609999999997,21934.15,21909.5,21932.5
2020-04-30,13:14:00,21649.82,21692.2,21639.65,21647.6
2020-04-30,14:14:00,21640.159999999996,21693.85,21661.0,21668.7
2020-04-30,15:14:00,21534.995,21563.05,21544.95,21548.6
2020-05-04,09:07:00,20351.954999999994,20514.75,20514.75,20514.75
2020-05-04,10:14:00,19952.54,19956.7,19930.3,19956.7
2020-05-04,11:14:00,19975.239999999998,19996.25,19970.3,19994.2
2020-05-04,12:14:00,20009.85,20001.05,19984.15,19986.85
2020-05-04,13:14:00,19938.1,19972.7,19942.65,19942.65
2020-05-04,14:14:00,19799.835,19850.9,19825.25,19833.5
2020-05-04,15:14:00,19744.559999999998,19728.05,19708.2,19712.9
2020-05-05,09:07:00,20164.329999999998,20147.3,20147.3,20147.3
2020-05-05,10:14:00,19865.69,19830.3,19811.1,19824.15
2020-05-05,11:14:00,19821.635000000002,19849.5,19835.95,19845.1
2020-05-05,12:14:00,19660.84,19727.3,19696.5,19703.15
2020-05-05,13:14:00,19824.855000000003,19853.95,19829.95,19845.45
2020-05-05,14:14:00,19681.94,19748.1,19713.4,19730.5
2020-05-05,15:14:00,19286.985,19266.95,19252.6,19262.55
2020-05-06,09:07:00,19103.644999999997,19302.45,19302.45,19302.45
2020-05-06,10:14:00,19491.415,19539.75,19480.8,19512.15
2020-05-06,11:14:00,19693.805,19711.45,19688.7,19698.0
2020-05-06,12:14:00,19679.865,19705.6,19691.2,19691.6
2020-05-06,13:14:00,19606.220000000005,19619.8,19584.45,19587.3
2020-05-06,14:14:00,19621.975000000002,19669.25,19652.0,19657.2
2020-05-06,15:14:00,19710.125,19717.5,19692.6,19705.0
2020-05-07,09:07:00,19454.854999999996,19536.05,19536.05,19536.05
2020-05-07,10:14:00,19609.585,19628.55,19602.35,19614.15
2020-05-07,11:14:00,19484.8,19490.0,19459.45,19467.95
2020-05-07,12:14:00,19437.859999999997,19474.35,19454.8,19461.25
2020-05-07,13:14:00,19567.219999999998,19550.3,19536.55,19537.2
2020-05-07,14:14:00,19485.275,19506.6,19474.85,19474.85
2020-05-07,15:14:00,19489.51,19508.5,19496.9,19503.7
2020-05-08,09:07:00,19837.04,19844.0,19844.0,19844.0
2020-05-08,10:14:00,19871.629999999997,19847.35,19832.55,19834.25
2020-05-08,11:14:00,19834.015,19846.65,19835.25,19835.25
2020-05-08,12:14:00,19766.389999999996,19796.7,19775.3,19791.85
2020-05-08,13:14:00,19780.535,19803.8,19791.05,19797.05
2020-05-08,14:14:00,19562.55,19603.35,19565.55,19570.6
2020-05-08,15:14:00,19374.010000000002,19356.05,19333.1,19335.45
2020-05-11,09:07:00,19611.655,19610.45,19610.45,19610.45
2020-05-11,10:14:00,19402.635000000002,19469.05,19417.35,19423.95
2020-05-11,11:14:00,19354.280000000002,19352.05,19330.85,19350.95
